OpenTime,OpenPrice,CloseTime,ClosePrice,,PnL
10/01/2018 09:00,13673,11/01/2018 00:00,14615,1.068894902,0.960837557
14/01/2018 12:00,13149,15/01/2018 00:00,13694,1.041448019,1.068894902
16/01/2018 02:00,13174,17/01/2018 00:00,10889,0.8265523,1.041448019
19/01/2018 02:00,10771,20/01/2018 00:00,11515,1.069074366,0.8265523
21/01/2018 07:00,11922,22/01/2018 00:00,11680,0.979701392,1.069074366
25/01/2018 17:00,11023,26/01/2018 00:00,11396,1.033838338,0.979701392
29/01/2018 08:00,11385,30/01/2018 00:00,11198.89609,0.983653587,1.033838338
31/01/2018 01:00,9988,01/02/2018 00:00,10223,1.023528234,0.983653587
02/02/2018 02:00,9050,03/02/2018 00:00,8793.1,0.97161326,1.023528234
04/02/2018 11:00,8701,05/02/2018 00:00,8250.1,0.94817837,0.97161326
06/02/2018 02:00,6392.960571,07/02/2018 00:00,7585,1.186461251,0.94817837
09/02/2018 01:00,8007.9,10/02/2018 00:00,8869.9,1.107643702,1.186461251
21/02/2018 02:00,11055,22/02/2018 00:00,10477,0.947715966,1.107643702
24/02/2018 15:00,9731,25/02/2018 00:00,9620.9,0.988685644,0.947715966
03/03/2018 21:00,11296,04/03/2018 00:00,11351,1.00486898,0.988685644
06/03/2018 00:00,11298,07/03/2018 00:00,10858,0.961055054,1.00486898
08/03/2018 03:00,9530,09/03/2018 00:00,9375.0385,0.983739612,0.961055054
11/03/2018 00:00,8471.3,12/03/2018 00:00,9597.2,1.132907582,0.983739612
14/03/2018 12:00,8669.7,15/03/2018 00:00,8078.6,0.931820017,1.132907582
16/03/2018 02:00,8096.5,17/03/2018 00:00,8290.5,1.023960971,0.931820017
18/03/2018 03:00,7641.1,19/03/2018 00:00,8295.2,1.085602858,1.023960971
22/03/2018 14:00,8482,23/03/2018 00:00,8619.9,1.016257958,1.085602858
25/03/2018 12:00,8495,26/03/2018 00:00,8350.4,0.982978222,1.016257958
29/03/2018 04:00,7583.9,30/03/2018 00:00,6825,0.899932752,0.982978222
01/04/2018 07:00,6710.1,02/04/2018 00:00,6999.2,1.043084306,0.899932752
05/04/2018 00:00,6695,06/04/2018 00:00,6799.1,1.015548917,1.043084306
09/04/2018 14:00,6730,10/04/2018 00:00,6761,1.004606241,1.015548917
12/04/2018 07:00,6828.5,13/04/2018 00:00,7897.6,1.156564399,1.004606241
16/04/2018 03:00,8149,17/04/2018 00:00,8042.596525,0.986942757,1.156564399
21/04/2018 21:00,8788.8,22/04/2018 00:00,8823.6,1.003959585,0.986942757
25/04/2018 14:00,8919.8,26/04/2018 00:00,8813,0.988026637,1.003959585
27/04/2018 21:00,8972.3,28/04/2018 00:00,8999.9,1.003076134,0.988026637
06/05/2018 16:00,9597.9,07/05/2018 00:00,9482.1,0.987934861,1.003076134
08/05/2018 12:00,9129.9,09/05/2018 00:00,9129.9,1,0.987934861
12/05/2018 00:00,8460.2,13/05/2018 00:00,8412.2,0.994326375,1
14/05/2018 05:00,8369.9,15/05/2018 00:00,8697.2,1.03910441,0.994326375
16/05/2018 00:00,8454.2,17/05/2018 00:00,8346.06518,0.987209337,1.03910441
18/05/2018 00:00,7958,19/05/2018 00:00,8215,1.032294546,0.987209337
21/05/2018 15:00,8409.7,22/05/2018 00:00,8361.9,0.994316087,1.032294546
23/05/2018 00:00,7955,24/05/2018 00:00,7571.8,0.951829038,0.994316087
25/05/2018 18:00,7424.4,26/05/2018 00:00,7441.1,1.00224934,0.951829038
27/05/2018 02:00,7298.2,28/05/2018 00:00,7342.9,1.006124798,1.00224934
29/05/2018 00:00,7115.1,30/05/2018 00:00,7482.8,1.051678824,1.006124798
04/06/2018 06:00,7576.3,05/06/2018 00:00,7495.9,0.98938796,1.051678824
08/06/2018 07:00,7629.8,09/06/2018 00:00,7634,1.000550473,0.98938796
10/06/2018 02:00,7319.4,11/06/2018 00:00,6714.4,0.917342952,1.000550473
12/06/2018 14:00,6752,13/06/2018 00:00,6543.9,0.969179502,0.917342952
15/06/2018 12:00,6502.720884,16/06/2018 00:00,6394.7,0.983388356,0.969179502
18/06/2018 00:00,6401.715345,19/06/2018 00:00,6720.2,1.049749893,0.983388356
20/06/2018 03:00,6607.8,21/06/2018 00:00,6754.3,1.022170768,1.049749893
23/06/2018 00:00,6129.2,24/06/2018 00:00,6117.6,0.99810742,1.022170768
28/06/2018 20:00,6049.938534,29/06/2018 00:00,5885.5,0.972819801,0.99810742
04/07/2018 01:00,6456.8,05/07/2018 00:00,6562,1.016292901,0.972819801
06/07/2018 07:00,6483.9,07/07/2018 00:00,6597.9,1.017582011,1.016292901
09/07/2018 02:00,6695.4,10/07/2018 00:00,6667.5,0.99583296,1.017582011
11/07/2018 00:00,6385,12/07/2018 00:00,6364.9,0.996851997,0.99583296
21/07/2018 01:00,7260,22/07/2018 00:00,7438.5,1.024586777,0.996851997
25/07/2018 14:00,8205.1,26/07/2018 00:00,8242,1.004497203,1.024586777
27/07/2018 00:00,7914.7,28/07/2018 00:00,8180,1.033519906,1.004497203
31/07/2018 10:00,7958.8,01/08/2018 00:00,7670.6,0.963788511,1.033519906
02/08/2018 14:00,7536.8,03/08/2018 00:00,7391.3,0.980694725,0.963788511
04/08/2018 14:00,7058.5,05/08/2018 00:00,6920,0.980378267,0.980694725
06/08/2018 17:00,6924.8,07/08/2018 00:00,6959,1.004938771,0.980378267
08/08/2018 19:00,6334.9,09/08/2018 00:00,6277.7,0.990970655,1.004938771
10/08/2018 11:00,6329.9,11/08/2018 00:00,6087.4,0.961689758,0.990970655
13/08/2018 17:00,6230,14/08/2018 00:00,6216.4,0.997817014,0.961689758
19/08/2018 03:00,6334.3,20/08/2018 00:00,6512.8,1.028179909,0.997817014
21/08/2018 00:00,6314.1,22/08/2018 00:00,6466.5,1.024136457,1.028179909
30/08/2018 03:00,7024.4,31/08/2018 00:00,6952,0.98969307,1.024136457
05/09/2018 10:00,6994.973409,06/09/2018 00:00,6458,0.923234389,0.98969307
08/09/2018 15:00,6430.9,09/09/2018 00:00,6172.9,0.959881199,0.923234389
10/09/2018 00:00,6259.7,11/09/2018 00:00,6323.02904,1.010116945,0.959881199
17/09/2018 09:00,6491,18/09/2018 00:00,6251.9,0.963164381,1.010116945
25/09/2018 00:00,6519.1,26/09/2018 00:00,6413,0.983724747,0.963164381
27/09/2018 06:00,6480.8,28/09/2018 00:00,6708.8,1.035180842,0.983724747
29/09/2018 01:00,6484.2,30/09/2018 00:00,6577.3,1.014357978,1.035180842
01/10/2018 14:00,6569.9,02/10/2018 00:00,6586.5,1.002526675,1.014357978
03/10/2018 03:00,6463.8,04/10/2018 00:00,6526.4,1.009684706,1.002526675
07/10/2018 11:00,6557.4,08/10/2018 00:00,6614.008975,1.008632838,1.009684706
09/10/2018 13:00,6606.1,10/10/2018 00:00,6643.8,1.005706847,1.008632838
11/10/2018 01:00,6347.7,12/10/2018 00:00,6255.6,0.985490808,1.005706847
15/10/2018 21:00,6641.1,16/10/2018 00:00,6728.987124,1.01323382,0.985490808
18/10/2018 20:00,6617.4,19/10/2018 00:00,6630,1.001904071,1.01323382
